Date,Price,Open,High,Low,Vol.,Change %
08-01-2025,"1,694.30","1,708.25","1,711.65","1,683.35",9.87M,-1.11%
07-01-2025,"1,713.40","1,715.00","1,721.00","1,700.00",6.76M,0.17%
06-01-2025,"1,710.50","1,740.10","1,757.20","1,705.80",9.41M,-2.21%
03-01-2025,"1,749.20","1,791.00","1,795.25","1,746.30",12.21M,-2.48%
02-01-2025,"1,793.75","1,777.10","1,803.45","1,773.00",9.28M,0.62%
01-01-2025,"1,782.75","1,773.45","1,794.00","1,761.10",3.66M,0.56%
31-12-2024,"1,772.85","1,770.30","1,781.80","1,765.60",7.06M,-0.28%
30-12-2024,"1,777.90","1,792.20","1,815.00","1,771.00",11.11M,-1.13%
27-12-2024,"1,798.25","1,794.80","1,805.95","1,789.10",3.63M,0.42%
26-12-2024,"1,790.75","1,798.55","1,812.00","1,780.75",5.24M,-0.41%
24-12-2024,"1,798.10","1,802.05","1,808.70","1,789.55",7.24M,-0.16%
23-12-2024,"1,801.00","1,782.00","1,806.00","1,781.30",5.52M,1.67%
20-12-2024,"1,771.50","1,782.20","1,797.55","1,767.05",12.85M,-1.23%
19-12-2024,"1,793.50","1,799.60","1,801.10","1,779.00",12.69M,-0.95%
18-12-2024,"1,810.70","1,829.85","1,836.00","1,807.15",11.71M,-1.23%
17-12-2024,"1,833.25","1,856.35","1,862.35","1,826.50",10.54M,-1.71%
16-12-2024,"1,865.20","1,865.10","1,869.95","1,855.25",6.55M,-0.35%
13-12-2024,"1,871.75","1,862.50","1,875.00","1,829.25",9.50M,0.67%
12-12-2024,"1,859.25","1,851.00","1,868.65","1,848.70",8.65M,-0.21%
11-12-2024,"1,863.10","1,861.70","1,871.90","1,856.75",7.02M,-0.27%
10-12-2024,"1,868.10","1,877.70","1,877.70","1,858.55",6.66M,-0.10%
09-12-2024,"1,870.00","1,853.65","1,880.00","1,849.00",13.47M,0.76%
06-12-2024,"1,855.85","1,857.00","1,864.20","1,844.00",8.89M,-0.53%
05-12-2024,"1,865.75","1,860.00","1,879.95","1,835.20",19.84M,0.30%
04-12-2024,"1,860.10","1,838.00","1,865.00","1,831.15",22.33M,1.85%
03-12-2024,"1,826.30","1,822.70","1,837.40","1,816.10",21.71M,1.20%
02-12-2024,"1,804.70","1,803.50","1,808.15","1,775.00",7.56M,0.48%
29-11-2024,"1,796.05","1,801.30","1,804.60","1,782.90",13.83M,0.16%
28-11-2024,"1,793.15","1,819.00","1,836.10","1,788.00",17.86M,-1.06%
27-11-2024,"1,812.30","1,789.90","1,817.35","1,785.15",16.36M,1.50%
26-11-2024,"1,785.55","1,810.00","1,810.00","1,769.80",15.47M,0.00%
25-11-2024,"1,785.60","1,785.05","1,803.55","1,764.90",213.87M,2.29%
22-11-2024,"1,745.60","1,743.55","1,754.30","1,729.55",12.39M,0.25%
21-11-2024,"1,741.20","1,749.40","1,759.00","1,734.20",17.86M,-0.06%
19-11-2024,"1,742.25","1,714.00","1,753.75","1,702.70",25.49M,2.18%
18-11-2024,"1,705.10","1,700.00","1,718.90","1,695.00",13.54M,0.73%
14-11-2024,"1,692.75","1,673.10","1,704.85","1,672.10",13.57M,0.68%
13-11-2024,"1,681.35","1,716.75","1,729.40","1,673.00",17.86M,-2.14%
12-11-2024,"1,718.20","1,772.00","1,775.00","1,708.65",15.70M,-2.72%
11-11-2024,"1,766.30","1,754.55","1,782.80","1,751.20",12.28M,0.68%
08-11-2024,"1,754.45","1,752.00","1,761.80","1,745.85",9.95M,0.45%
07-11-2024,"1,746.55","1,744.30","1,760.95","1,738.00",9.45M,-0.50%
06-11-2024,"1,755.25","1,771.50","1,771.50","1,745.35",13.89M,-0.15%
05-11-2024,"1,757.85","1,703.00","1,762.70","1,697.90",22.12M,2.55%
04-11-2024,"1,714.10","1,745.00","1,745.00","1,710.90",14.04M,-1.34%
01-11-2024,"1,737.30","1,733.00","1,744.10","1,726.10",879.85K,0.09%
31-10-2024,"1,735.70","1,728.00","1,738.90","1,719.40",11.45M,0.06%
30-10-2024,"1,734.60","1,742.00","1,754.75","1,724.20",16.36M,-0.98%
29-10-2024,"1,751.85","1,726.15","1,764.00","1,725.10",17.90M,1.02%
28-10-2024,"1,734.20","1,742.00","1,751.00","1,728.90",11.01M,-0.53%
25-10-2024,"1,743.40","1,755.00","1,757.85","1,728.70",13.07M,-0.36%
24-10-2024,"1,749.65","1,738.10","1,768.65","1,738.10",15.42M,0.80%
23-10-2024,"1,735.80","1,705.05","1,746.50","1,705.05",19.02M,1.24%
22-10-2024,"1,714.55","1,730.05","1,740.00","1,710.70",19.44M,-0.82%
21-10-2024,"1,728.70","1,715.00","1,748.15","1,711.05",23.27M,2.79%
18-10-2024,"1,681.85","1,663.10","1,691.00","1,654.10",12.40M,0.52%
17-10-2024,"1,673.15","1,694.95","1,697.65","1,665.20",7.35M,-1.57%
16-10-2024,"1,699.80","1,680.10","1,707.95","1,680.10",10.24M,0.93%
15-10-2024,"1,684.10","1,694.00","1,698.00","1,675.50",9.83M,-0.24%
14-10-2024,"1,688.10","1,656.05","1,692.05","1,654.00",9.26M,2.25%
11-10-2024,"1,651.00","1,664.45","1,664.45","1,643.25",11.84M,-0.69%
10-10-2024,"1,662.40","1,639.00","1,665.45","1,632.50",10.88M,1.79%
09-10-2024,"1,633.15","1,649.50","1,656.75","1,628.70",20.56M,-1.08%
08-10-2024,"1,651.05","1,630.00","1,656.80","1,622.00",14.87M,2.06%
07-10-2024,"1,617.80","1,652.20","1,659.00","1,613.00",47.23M,-2.40%
04-10-2024,"1,657.65","1,674.50","1,690.65","1,653.00",24.34M,-1.45%
03-10-2024,"1,682.00","1,715.65","1,726.15","1,673.35",24.24M,-2.56%
01-10-2024,"1,726.20","1,724.00","1,742.00","1,720.10",12.29M,-0.34%
30-09-2024,"1,732.05","1,748.80","1,751.45","1,724.40",13.19M,-1.18%
27-09-2024,"1,752.65","1,777.00","1,778.20","1,750.00",17.81M,-1.73%
26-09-2024,"1,783.45","1,773.05","1,788.00","1,768.05",15.95M,0.24%
25-09-2024,"1,779.10","1,760.15","1,788.00","1,760.15",15.98M,0.62%
24-09-2024,"1,768.05","1,765.00","1,781.65","1,754.25",16.52M,0.47%
23-09-2024,"1,759.80","1,749.00","1,766.35","1,740.25",13.48M,1.07%
20-09-2024,"1,741.20","1,716.50","1,744.95","1,707.55",30.31M,1.91%
