Trend,Start Date,End Date,Profit
DOWN,2011-05-05,2011-05-09,-318.3799999999974
UP,2011-05-09,2011-05-10,-16.18999999999869
DOWN,2011-05-10,2011-05-11,-72.18999999999869
UP,2011-05-11,2011-05-12,-249.16999999999825
DOWN,2011-05-12,2011-05-13,-195.48999999999796
UP,2011-05-13,2011-05-18,-445.0799999999981
DOWN,2011-05-18,2011-05-20,-239.88999999999942
UP,2011-05-20,2011-05-23,-332.7599999999984
DOWN,2011-05-23,2011-05-24,-18.639999999999418
UP,2011-05-24,2011-05-25,-164.72999999999956
DOWN,2011-05-25,2011-05-27,-418.85999999999694
UP,2011-05-27,2011-05-30,-34.039999999997235
DOWN,2011-05-30,2011-06-01,-376.75
UP,2011-06-01,2011-06-03,-232.33000000000175
DOWN,2011-06-03,2011-06-07,-119.13999999999942
UP,2011-06-07,2011-06-13,-229.59000000000015
DOWN,2011-06-13,2011-06-14,-42.63000000000102
UP,2011-06-14,2011-06-20,-802.0299999999988
DOWN,2011-06-20,2011-06-21,-53.669999999998254
UP,2011-06-21,2011-06-22,-9.669999999998254
DOWN,2011-06-22,2011-06-30,-1295.239999999998
UP,2011-06-30,2011-07-01,-83.06999999999971
DOWN,2011-07-01,2011-07-04,-51.68000000000029
UP,2011-07-04,2011-07-06,-87.5099999999984
DOWN,2011-07-06,2011-07-07,-351.3299999999981
UP,2011-07-07,2011-07-12,-666.6800000000003
DOWN,2011-07-12,2011-07-14,-206.58000000000175
UP,2011-07-14,2011-07-18,-111.15999999999985
DOWN,2011-07-18,2011-07-19,-146.8299999999981
UP,2011-07-19,2011-07-21,-217.6800000000003
DOWN,2011-07-21,2011-07-25,-435.1000000000022
UP,2011-07-25,2011-07-29,-674.0900000000001
DOWN,2011-07-29,2011-08-01,-117.13000000000102
UP,2011-08-01,2011-08-09,-1456.420000000002
DOWN,2011-08-09,2011-08-10,-272.59999999999854
UP,2011-08-10,2011-08-16,-399.5699999999997
DOWN,2011-08-16,2011-08-17,-109.86000000000058
UP,2011-08-17,2011-08-19,-699.1299999999992
DOWN,2011-08-19,2011-08-23,-356.8000000000011
UP,2011-08-23,2011-08-26,-649.6400000000012
DOWN,2011-08-26,2011-09-02,-972.6299999999992
UP,2011-09-02,2011-09-05,-108.12999999999738
DOWN,2011-09-05,2011-09-08,-452.2099999999991
UP,2011-09-08,2011-09-13,-698.1000000000022
DOWN,2011-09-13,2011-09-16,-466.39000000000306
UP,2011-09-16,2011-09-19,-188.4800000000032
DOWN,2011-09-19,2011-09-20,-353.9300000000003
UP,2011-09-20,2011-09-26,-1048.1799999999985
DOWN,2011-09-26,2011-09-27,-472.9299999999985
UP,2011-09-27,2011-09-28,-78.0099999999984
DOWN,2011-09-28,2011-09-29,-252.04999999999927
UP,2011-09-29,2011-10-05,-905.6599999999999
DOWN,2011-10-05,2011-10-10,-764.8199999999997
UP,2011-10-10,2011-10-11,-20.7599999999984
DOWN,2011-10-11,2011-10-12,-421.91999999999825
UP,2011-10-12,2011-10-13,-74.47000000000116
DOWN,2011-10-13,2011-10-14,-198.77000000000044
UP,2011-10-14,2011-10-18,-334.3999999999978
DOWN,2011-10-18,2011-10-19,-337.0499999999993
UP,2011-10-19,2011-10-21,-299.7000000000007
DOWN,2011-10-21,2011-10-28,-1019.1599999999999
UP,2011-10-28,2011-11-02,-339.9500000000007
DOWN,2011-11-02,2011-11-08,-104.68000000000029
UP,2011-11-08,2011-11-21,-1623.4299999999985
DOWN,2011-11-21,2011-11-22,-119.31999999999971
UP,2011-11-22,2011-11-23,-365.4500000000007
DOWN,2011-11-23,2011-11-24,-158.52000000000044
UP,2011-11-24,2011-11-25,-163.0599999999995
DOWN,2011-11-25,2011-11-28,-471.6999999999989
UP,2011-11-28,2011-11-29,-158.78999999999905
DOWN,2011-11-29,2011-12-02,-838.4900000000016
UP,2011-12-02,2011-12-05,-41.5
DOWN,2011-12-05,2011-12-07,-71.72999999999956
UP,2011-12-07,2011-12-12,-1006.710000000001
DOWN,2011-12-12,2011-12-13,-132.15999999999985
UP,2011-12-13,2011-12-20,-827.4300000000003
DOWN,2011-12-20,2011-12-22,-638.2800000000007
UP,2011-12-22,2011-12-23,-74.65999999999985
DOWN,2011-12-23,2011-12-26,-232.04999999999927
UP,2011-12-26,2011-12-30,-515.8299999999999
DOWN,2011-12-30,2012-01-03,-484.4400000000005
UP,2012-01-03,2012-01-05,-82.28000000000065
DOWN,2012-01-05,2012-01-06,-10.649999999999636
UP,2012-01-06,2012-01-09,-53.01000000000022
DOWN,2012-01-09,2012-01-11,-361.14000000000124
UP,2012-01-11,2012-01-12,-138.35000000000036
DOWN,2012-01-12,2012-01-17,-428.53999999999905
UP,2012-01-17,2012-01-18,-14.579999999998108
DOWN,2012-01-18,2012-01-27,-782.5099999999984
UP,2012-01-27,2012-01-30,-370.6800000000003
DOWN,2012-01-30,2012-02-06,-844.010000000002
UP,2012-02-06,2012-02-07,-84.86000000000058
DOWN,2012-02-07,2012-02-09,-208.29999999999927
UP,2012-02-09,2012-02-10,-82.06000000000131
DOWN,2012-02-10,2012-02-15,-453.72000000000116
UP,2012-02-15,2012-02-16,-48.419999999998254
DOWN,2012-02-16,2012-02-21,-274.619999999999
UP,2012-02-21,2012-02-27,-982.8600000000006
DOWN,2012-02-27,2012-02-29,-306.9300000000003
UP,2012-02-29,2012-03-01,-168.70999999999913
DOWN,2012-03-01,2012-03-03,-53.02000000000044
UP,2012-03-03,2012-03-07,-491.47000000000116
DOWN,2012-03-07,2012-03-14,-773.7799999999988
UP,2012-03-14,2012-03-19,-645.9300000000003
DOWN,2012-03-19,2012-03-21,-328.34000000000015
UP,2012-03-21,2012-03-22,-405.23999999999796
DOWN,2012-03-22,2012-03-23,-165.27000000000044
UP,2012-03-23,2012-03-26,-308.96000000000276
DOWN,2012-03-26,2012-03-27,-204.58000000000175
UP,2012-03-27,2012-03-29,-198.75
DOWN,2012-03-29,2012-04-03,-538.8099999999977
UP,2012-04-03,2012-04-09,-375.27999999999884
DOWN,2012-04-09,2012-04-10,-21.700000000000728
UP,2012-04-10,2012-04-11,-44.43999999999869
DOWN,2012-04-11,2012-04-12,-133.21999999999753
UP,2012-04-12,2012-04-13,-238.11000000000058
DOWN,2012-04-13,2012-04-19,-409.2000000000007
UP,2012-04-19,2012-04-23,-407.02999999999884
DOWN,2012-04-23,2012-04-24,-110.61000000000058
UP,2012-04-24,2012-04-26,-76.62000000000262
DOWN,2012-04-26,2012-04-30,-188.14000000000306
UP,2012-04-30,2012-05-04,-487.72999999999956
DOWN,2012-05-04,2012-05-07,-81.62999999999738
UP,2012-05-07,2012-05-14,-696.869999999999
DOWN,2012-05-14,2012-05-15,-112.40999999999985
UP,2012-05-15,2012-05-16,-298.15999999999985
DOWN,2012-05-16,2012-05-21,-153.17000000000007
UP,2012-05-21,2012-05-23,-235.15999999999985
DOWN,2012-05-23,2012-05-24,-274.1999999999989
UP,2012-05-24,2012-05-25,-4.479999999999563
DOWN,2012-05-25,2012-05-29,-220.76000000000204
UP,2012-05-29,2012-06-01,-473.4200000000019
DOWN,2012-06-01,2012-06-08,-753.7099999999991
UP,2012-06-08,2012-06-11,-50.86000000000058
DOWN,2012-06-11,2012-06-13,-212.5
UP,2012-06-13,2012-06-14,-202.62999999999738
DOWN,2012-06-14,2012-06-15,-271.9500000000007
UP,2012-06-15,2012-06-18,-244.0
DOWN,2012-06-18,2012-06-21,-326.72999999999956
UP,2012-06-21,2012-06-25,-150.40000000000146
DOWN,2012-06-25,2012-06-29,-547.8199999999997
UP,2012-06-29,2012-07-02,-31.0
DOWN,2012-07-02,2012-07-05,-139.6899999999987
UP,2012-07-05,2012-07-09,-146.6899999999987
DOWN,2012-07-09,2012-07-10,-226.36999999999898
UP,2012-07-10,2012-07-16,-515.0399999999972
DOWN,2012-07-16,2012-07-19,-175.53999999999724
UP,2012-07-19,2012-07-23,-401.5
DOWN,2012-07-23,2012-07-24,-40.7300000000032
UP,2012-07-24,2012-07-26,-278.26000000000204
DOWN,2012-07-26,2012-08-01,-617.5600000000013
UP,2012-08-01,2012-08-03,-59.45000000000073
DOWN,2012-08-03,2012-08-07,-403.84999999999854
UP,2012-08-07,2012-08-10,-44.039999999997235
DOWN,2012-08-10,2012-08-14,-170.45999999999913
UP,2012-08-14,2012-08-16,-70.9900000000016
DOWN,2012-08-16,2012-08-21,-228.04999999999927
UP,2012-08-21,2012-08-22,-38.39999999999782
DOWN,2012-08-22,2012-08-23,-3.360000000000582
UP,2012-08-23,2012-08-29,-359.40999999999985
DOWN,2012-08-29,2012-08-30,-50.82999999999811
UP,2012-08-30,2012-09-03,-157.23999999999796
DOWN,2012-09-03,2012-09-04,-56.469999999997526
UP,2012-09-04,2012-09-05,-127.52999999999884
DOWN,2012-09-05,2012-09-17,-1228.9700000000012
UP,2012-09-17,2012-09-20,-193.0600000000013
