Date,Price,Open,High,Low,Vol.,Change %,RSI,Target
2024-06-10,1561.3,1574.0,1580.65,1557.6,11230000.0,-0.77%,64.6806072758522,1
2024-06-11,1564.8,1556.0,1571.0,1552.2,14770000.0,0.22%,64.99148211243612,1
2024-06-12,1574.15,1575.0,1588.3,1566.4,19640000.0,0.60%,62.425719945147065,1
2024-06-13,1580.75,1581.75,1585.7,1574.0,12060000.0,0.42%,60.2450427212639,1
2024-06-14,1596.9,1584.0,1599.0,1577.7,12770000.0,1.02%,60.95630145661813,1
2024-06-18,1607.8,1596.9,1610.5,1589.45,16210000.0,0.68%,61.93269527631985,1
2024-06-19,1657.85,1613.4,1669.9,1604.0,45070000.0,3.11%,71.25799573560768,1
2024-06-20,1669.35,1669.8,1681.45,1652.0,20700000.0,0.69%,71.65685449957948,0
2024-06-21,1665.75,1672.85,1672.85,1643.15,25820000.0,-0.22%,69.52852153667058,1
2024-06-24,1672.4,1647.0,1675.1,1645.75,14270000.0,0.40%,66.18217054263567,1
2024-06-25,1711.35,1671.1,1716.95,1671.1,37260000.0,2.33%,93.96917148362239,0
2024-06-26,1701.5,1707.95,1710.9,1691.1,23800000.0,-0.58%,87.29446935724971,0
2024-06-27,1696.15,1696.1,1713.0,1686.6,27540000.0,-0.31%,84.43098662629333,0
2024-06-28,1683.8,1697.6,1706.6,1679.0,13240000.0,-0.73%,78.05435610871228,1
2024-07-01,1705.2,1680.0,1707.3,1680.0,10590000.0,1.27%,84.89330746847726,1
2024-07-02,1730.6,1715.0,1734.9,1702.75,22960000.0,1.49%,86.34370889960547,1
2024-07-03,1768.65,1791.0,1794.0,1764.65,61610000.0,2.20%,87.86993769470409,0
2024-07-04,1727.15,1759.75,1759.75,1724.85,22920000.0,-2.35%,75.0942749400069,0
2024-07-05,1648.1,1685.0,1685.0,1642.2,41120000.0,-4.58%,57.21940214325999,0
2024-07-08,1635.35,1645.3,1654.95,1627.15,19540000.0,-0.77%,53.86449712442137,1
2024-07-09,1636.5,1625.0,1646.7,1620.35,24280000.0,0.07%,46.52901967159813,0
2024-07-10,1626.1,1629.95,1640.0,1620.75,22750000.0,-0.64%,42.94338391254691,0
2024-07-11,1621.9,1623.95,1625.85,1601.0,22090000.0,-0.26%,42.85946914183359,1
2024-07-12,1622.7,1622.0,1638.4,1611.15,28020000.0,0.05%,41.74966799468791,0
2024-07-15,1622.1,1623.5,1629.8,1615.2,16690000.000000002,-0.04%,33.02263648468711,0
2024-07-16,1619.75,1620.75,1627.0,1616.8,14480000.0,-0.14%,33.9925592324261,0
2024-07-18,1614.8,1608.0,1623.95,1599.15,16860000.0,-0.31%,34.045891351245345,0
2024-07-19,1607.3,1616.0,1623.0,1603.5,13000000.0,-0.46%,34.706117552978824,1
2024-07-22,1642.55,1617.0,1651.0,1612.65,26870000.0,2.19%,38.132222011744645,0
2024-07-23,1618.4,1647.55,1647.8,1605.0,26000000.0,-1.47%,28.644842025123765,0
2024-07-24,1604.05,1608.15,1621.0,1588.05,30860000.0,-0.89%,15.56485355648536,1
2024-07-25,1616.6,1593.0,1625.0,1593.0,12770000.0,0.78%,23.68483694358484,1
2024-07-26,1618.15,1605.0,1621.75,1596.45,21910000.0,0.10%,38.702376461712646,0
2024-07-29,1605.05,1615.0,1631.85,1598.3,25500000.0,-0.81%,38.60045146726866,1
2024-07-30,1615.55,1602.0,1634.75,1599.0,27300000.0,0.65%,42.63620386643233,1
2024-07-31,1615.75,1614.0,1627.9,1609.2,18910000.0,0.01%,46.081029912911816,1
2024-08-01,1638.8,1622.9,1650.05,1617.95,13110000.0,1.43%,55.599734923790535,1
2024-08-02,1659.15,1631.0,1670.5,1631.0,22060000.0,1.24%,60.692285127603384,0
2024-08-05,1615.75,1640.1,1646.0,1601.0,20670000.0,-2.62%,48.511137162954306,0
2024-08-06,1601.2,1630.0,1632.95,1593.3,22560000.0,-0.90%,45.886005766245304,1
2024-08-07,1623.5,1617.0,1630.0,1602.2,21170000.0,1.39%,51.79159802306427,1
2024-08-08,1642.7,1624.0,1653.3,1619.25,16990000.0,1.18%,56.954813359528494,1
2024-08-09,1650.2,1652.0,1662.55,1645.8,13320000.0,0.46%,51.68687982359429,1
2024-08-12,1660.1,1652.0,1675.95,1647.35,19660000.0,0.60%,59.81176470588229,0
2024-08-13,1603.2,1628.0,1632.4,1601.15,27030000.0,-3.43%,49.83336600666537,1
2024-08-14,1607.8,1606.5,1613.7,1603.2,16170000.000000002,0.29%,48.219344394981796,1
2024-08-16,1632.1,1628.5,1634.15,1611.0,13920000.0,1.51%,52.584769316286796,0
2024-08-19,1631.55,1637.65,1637.65,1623.7,9750000.0,-0.03%,55.14963078118928,1
2024-08-20,1637.7,1627.45,1646.0,1627.45,15570000.0,0.38%,54.37833563945446,0
2024-08-21,1625.8,1628.1,1634.55,1617.8,23820000.0,-0.73%,51.89873417721518,1
2024-08-22,1631.3,1632.0,1638.3,1628.0,10650000.0,0.34%,48.48239579117766,0
2024-08-23,1625.05,1634.0,1634.0,1623.0,10170000.0,-0.38%,42.68240343347636,1
2024-08-26,1639.95,1632.2,1647.95,1632.2,11180000.0,0.92%,55.916870415647935,0
2024-08-27,1637.75,1643.4,1647.4,1632.2,17890000.0,-0.13%,59.51079885506114,0
2024-08-28,1637.1,1637.75,1639.75,1630.2,13460000.0,-0.04%,53.988269794721376,1
2024-08-29,1638.55,1642.0,1644.4,1631.15,24530000.0,0.09%,48.641571194762655,0
