Date,Price,Open,High,Low,Vol.,Change(%)
08-Jan-25,706.4,724.45,724.65,663.5,20415166,-2.29%
07-Jan-25,722.95,777.05,781.15,718.15,14987021,-2.90%
06-Jan-25,744.55,781.55,793.45,740.5,6020813,-4.27%
03-Jan-25,777.8,790.9,792.9,757.4,6953038,-1.28%
02-Jan-25,787.9,778.1,795.4,767.3,5574250,1.55%
01-Jan-25,775.85,760,780,754.1,3494514,1.25%
31-Dec-24,766.25,741,774,726,5013928,2.94%
30-Dec-24,744.4,723.75,753.15,715,8766154,3.15%
27-Dec-24,721.65,725.05,734.8,719.5,1437302,-0.66%
26-Dec-24,726.45,725,735.9,717.3,2236160,0.90%
24-Dec-24,720,723.95,728.65,712.25,1527876,-0.55%
23-Dec-24,723.95,727.7,738.9,714.55,2639988,0.66%
20-Dec-24,719.2,744.5,747.85,715.35,3319528,-3.13%
19-Dec-24,742.45,739.2,748.5,736,1943250,-1.56%
18-Dec-24,754.2,758.95,762.5,734,3734611,-0.28%
17-Dec-24,756.35,764,768.85,753.1,2620852,-0.90%
16-Dec-24,763.25,750.45,765.35,748.35,2591969,2.16%
13-Dec-24,747.1,760,763,737.4,3505764,-1.71%
12-Dec-24,760.1,762,784.45,751.85,6556832,-0.37%
11-Dec-24,762.95,761,767,753.05,3352324,0.53%
10-Dec-24,758.9,778,781.3,745.05,8400100,-2.13%
09-Dec-24,775.45,731.85,778.7,731.85,12146633,6.15%
06-Dec-24,730.5,720.65,750,716.95,7793780,1.37%
05-Dec-24,720.65,723,724.7,711.35,2571259,-0.29%
04-Dec-24,722.75,730.6,731.6,701,6581665,-0.56%
03-Dec-24,726.85,725,731.7,720.55,2741760,0.66%
02-Dec-24,722.1,722.5,741.55,715.75,4677259,-0.32%
29-Nov-24,724.45,707.65,728,705.6,4281944,2.37%
28-Nov-24,707.65,702.3,712,692,3683966,1.43%
27-Nov-24,697.65,697,706,685.35,2897301,0.62%
26-Nov-24,693.35,694.8,708.95,691.1,4388024,-0.87%
25-Nov-24,699.4,722.85,736.8,681.8,52990269,-1.00%
22-Nov-24,706.45,714,714.25,683.8,5902907,-0.74%
21-Nov-24,711.75,707.75,720,696.7,7498145,1.48%
19-Nov-24,701.35,674,707,670.35,7435686,4.95%
18-Nov-24,668.25,656,675.4,654.1,6958109,2.19%
14-Nov-24,653.9,664.95,694.5,642.65,9828648,-2.47%
13-Nov-24,670.45,703.95,709.55,665,6086731,-4.81%
12-Nov-24,704.3,705,719.45,695.6,4319306,0.59%
11-Nov-24,700.2,692.05,710.95,685.35,4262338,0.88%
08-Nov-24,694.1,707.85,707.9,690.7,4230373,-1.69%
07-Nov-24,706.05,704,718.3,692.75,9310382,0.86%
06-Nov-24,700,649,706,648,10523346,7.31%
05-Nov-24,652.3,658.8,669,632.4,10046234,-1.09%
04-Nov-24,659.5,664.1,665.95,652,3492119,-1.68%
01-Nov-24,670.8,670,675,665.8,1003182,2.08%
31-Oct-24,657.15,674,679.7,652.55,3772763,-2.54%
30-Oct-24,674.25,673.15,683.95,663.2,3631337,0.16%
29-Oct-24,673.15,673.55,677,650.6,5632005,0.61%
28-Oct-24,669.05,672.3,680,662.05,3340348,-0.39%
25-Oct-24,671.7,697,701.5,665.25,4954602,-3.51%
24-Oct-24,696.1,694.9,713,690.15,4518689,0.21%
23-Oct-24,694.65,674.8,706.95,658.85,7648461,2.77%
22-Oct-24,675.9,707.35,714.05,668.7,6306617,-4.00%
21-Oct-24,704.05,724.9,728.05,700,5844773,-2.07%
18-Oct-24,718.95,726,738.9,708,7456179,-1.25%
17-Oct-24,728.05,749.05,751.4,721,6400169,-3.11%
16-Oct-24,751.4,751,756.6,737,5034401,0.05%
15-Oct-24,751,758,773,741.55,10212032,0.03%
14-Oct-24,750.8,722,754.9,718.4,9422733,4.23%
11-Oct-24,720.3,722.3,726.7,712,3731104,0.21%
10-Oct-24,718.8,726,735.4,715.55,4158843,-0.38%
09-Oct-24,721.55,713.9,727.4,703.15,5926533,1.63%
08-Oct-24,709.95,704.2,718.75,685.05,9040443,1.10%
07-Oct-24,702.2,727,729.3,673.4,11725010,-1.51%
04-Oct-24,712.95,735,742.65,708.3,7585125,-2.41%
03-Oct-24,730.55,725,752.5,721,8786672,-2.61%
